age,gender,occupation,line_of_work,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,Unnamed: 19,time_bp.1,travel+work,avg_score,lifestyle_change,time_change
19-25,Male,Student in College,,0.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Complete Physical Attendance,Yes,,7,,0.0,0,2
19-25,Male,Student in College,,1.5,3,3,0.0,0.5,-0.5,1.0,-0.5,0.0,111,1111,Complete Physical Attendance,Yes,,7,,0.08333333333333333,0,0
19-25,Male,Student in College,,0.5,5,2,1.0,1.0,1.0,1.0,0.0,1.0,1101,1101,Complete Physical Attendance,Yes,,5,,0.8333333333333334,1,2
19-25,Male,Student in College,,0.5,1,3,-1.0,-1.0,0.0,0.0,0.0,0.0,1110,1111,Complete Physical Attendance,Yes,,12,,-0.3333333333333333,-1,0
19-25,Male,Student in College,,0.5,3,3,-1.0,-1.0,-1.0,-1.0,-0.5,0.0,1000,10,Complete Physical Attendance,No,,7,,-0.75,-1,0
19-25,Male,Student in College,,1.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1110,1,Work/study from home,Yes,,7,,1.0,1,-2
19-25,Male,Working Professional,APSPDCL ,1.5,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1101,Complete Physical Attendance,Maybe,,5,,0.5,1,0
19-25,Male,Student in College,,1.5,4,2,0.0,-1.0,-1.0,0.5,-0.5,-0.5,1100,1111,Complete Physical Attendance,No,,5,,-0.4166666666666667,-1,4
19-25,Male,Student in College,,1.5,3,3,0.0,-1.0,0.0,1.0,0.5,1.0,1000,1100,Complete Physical Attendance,Maybe,,7,,0.25,0,-2
19-25,Male,Student in College,,1.5,3,3,0.5,0.0,0.0,1.0,0.5,0.5,1110,1101,Work/study from home,Maybe,,7,,0.4166666666666667,1,0
19-25,Female,Currently Out of Work,,0.5,2,4,-0.5,-0.5,-0.5,0.5,0.0,0.0,100,1111,Complete Physical Attendance,Yes,,7,,-0.16666666666666666,0,-3
19-25,Male,Student in College,,1.5,1,2,1.0,0.5,1.0,1.0,0.5,1.0,1100,10,Work/study from home,Yes,,7,,0.8333333333333334,1,4
19-25,Male,Student in College,,1.5,1,5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,1110,11,Work/study from home,No,,9,,-0.9166666666666666,-1,-5
19-25,Male,Entrepreneur,,1.5,2,1,-0.5,-0.5,0.0,0.5,-1.0,-0.5,1000,1000,Complete Physical Attendance,Maybe,,5,,-0.3333333333333333,-1,-1
19-25,Male,Student in College,,0.5,4,3,-0.5,-1.0,0.0,-1.0,0.5,-0.5,1010,1111,Complete Physical Attendance,Yes,,7,,-0.4166666666666667,-1,-3
19-25,Male,Working Professional,Architecture,1.5,4,5,0.0,0.0,0.0,-1.0,-1.0,0.0,101,1101,Complete Physical Attendance,No,,11,,-0.3333333333333333,-1,-4
19-25,Female,Student in College,,2.5,1,5,-1.0,-0.5,0.5,0.5,-0.5,0.0,100,1111,Complete Physical Attendance,No,,7,,-0.16666666666666666,0,-2
19-25,Male,Student in College,,1.5,2,1,0.0,1.0,1.0,0.5,0.5,0.0,1101,1010,Work/study from home,Maybe,,7,,0.5,1,-3
Dec-18,Male,Student in College,,0.5,1,3,-0.5,-0.5,-0.5,0.5,0.5,0.5,1100,1001,Complete Physical Attendance,Maybe,,5,,0.0,0,-1
19-25,Female,Student in College,,1.5,3,5,-0.5,-0.5,0.5,0.5,0.0,0.5,10,1111,Complete Physical Attendance,Maybe,,9,,0.08333333333333333,0,-4
19-25,Male,Student in College,,0.5,2,3,0.0,-1.0,0.0,1.0,0.0,0.0,100,1101,Complete Physical Attendance,No,,5,,0.0,0,2
19-25,Male,Student in College,,0.5,2,1,0.5,0.5,1.0,1.0,0.5,1.0,1000,1000,Work/study from home,Yes,,7,,0.75,1,-2
19-25,Male,Student in College,,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,100,Complete Physical Attendance,Yes,,4,,0.5,1,5
19-25,Male,Student in College,,0.5,4,5,-1.0,0.0,-1.0,-0.5,-0.5,-0.5,1010,1111,Complete Physical Attendance,No,,7,,-0.5833333333333334,-1,2
19-25,Male,Student in College,,3.0,2,2,0.0,-0.5,-1.0,-1.0,-0.5,-1.0,1000,1001,Work/study from home,Yes,,7,,-0.6666666666666666,-1,4
19-25,Male,Student in College,,0.5,3,4,0.0,0.0,0.0,1.0,0.5,0.5,1100,11,Complete Physical Attendance,Maybe,,7,,0.3333333333333333,1,-3
19-25,Male,Student in College,,0.5,3,3,0.0,0.5,-0.5,0.5,0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,,7,,0.25,0,2
19-25,Male,Student in College,,3.0,3,3,-0.5,0.0,0.5,0.5,0.5,0.0,1111,1101,Complete Physical Attendance,Maybe,,9,,0.16666666666666666,0,-4
19-25,Female,Working Professional,Architect,0.5,1,1,0.0,-1.0,1.0,1.0,0.5,0.5,1111,111,Complete Physical Attendance,Yes,,7,,0.3333333333333333,1,-3
19-25,Male,Student in College,,1.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1111,100,Work/study from home,Yes,,7,,1.0,1,-3
19-25,Female,Student in College,,0.5,3,4,0.0,0.0,0.5,0.5,0.5,0.5,110,1001,Work/study from home,Yes,,7,,0.3333333333333333,1,-2
19-25,Male,Working Professional,Engineering,0.5,2,4,0.0,0.5,-0.5,0.0,-0.5,0.0,1010,1011,Complete Physical Attendance,Yes,,7,,-0.08333333333333333,0,2
19-25,Male,Student in College,,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Complete Physical Attendance,Yes,,9,,0.25,0,-5
19-25,Male,Student in College,,1.5,3,4,-0.5,0.5,1.0,1.0,-0.5,-0.5,1010,1110,Complete Physical Attendance,Yes,,7,,0.16666666666666666,0,0
Dec-18,Female,Student in School,,0.5,4,4,-1.0,-0.5,0.0,0.0,-1.0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,,-0.3333333333333333,-1,-1
19-25,Female,Currently Out of Work,,0.5,2,3,0.0,-1.0,0.5,1.0,0.0,0.0,1111,1000,Complete Physical Attendance,Yes,,7,,0.08333333333333333,0,-3
19-25,Male,Student in College,,0.5,4,3,-0.5,-0.5,-1.0,-0.5,0.0,-1.0,100,100,Complete Physical Attendance,No,,9,,-0.5833333333333334,-1,0
19-25,Male,Entrepreneur,,0.5,2,1,1.0,0.5,0.5,0.0,0.5,0.0,1101,1100,Work/study from home,Maybe,,4,,0.4166666666666667,1,0
19-25,Male,Student in College,,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,1111,1111,Complete Physical Attendance,Maybe,,9,,0.08333333333333333,0,-5
19-25,Male,Student in College,,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1100,1111,Complete Physical Attendance,Maybe,,7,,0.3333333333333333,1,-3
19-25,Male,Currently Out of Work,,1.5,5,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1000,1,Complete Physical Attendance,Yes,,9,,0.08333333333333333,0,-5
19-25,Female,Student in College,,0.5,3,1,0.0,1.0,0.5,0.5,0.0,0.5,1100,1000,Complete Physical Attendance,Maybe,,5,,0.4166666666666667,1,-1
19-25,Female,Student in College,,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1110,1111,Complete Physical Attendance,Yes,,7,,0.5,1,0
19-25,Male,Student in College,,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1,Complete Physical Attendance,Maybe,,5,,0.0,0,0
60+,Prefer not to say,Homemaker,,3.0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1111,1111,Complete Physical Attendance,Maybe,,12,,-1.0,-1,0
19-25,Male,Student in College,,0.5,2,3,0.0,-0.5,0.0,0.0,0.0,0.0,1010,1110,Complete Physical Attendance,Yes,,5,,-0.08333333333333333,0,-1
19-25,Male,Student in College,,0.5,3,4,-0.5,-1.0,0.5,0.5,-0.5,0.5,1110,1111,Complete Physical Attendance,No,,7,,-0.08333333333333333,0,-3
40-50,Female,Homemaker,,0.5,3,3,0.0,-0.5,0.5,1.0,0.5,-0.5,1100,101,Complete Physical Attendance,Yes,,7,,0.16666666666666666,0,2
40-50,Male,Working Professional,Engineering,2.5,3,3,-0.5,-0.5,1.0,0.5,-1.0,0.5,1100,1001,Complete Physical Attendance,Yes,,9,,0.0,0,2
19-25,Male,Student in College,,0.5,1,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,110,Work/study from home,Yes,,5,,0.3333333333333333,1,2
19-25,Male,Student in College,,2.5,2,2,0.5,-0.5,1.0,0.5,0.5,0.5,1100,11,Work/study from home,Yes,,5,,0.4166666666666667,1,0
19-25,Male,Entrepreneur,,0.5,3,3,-0.5,-1.0,0.5,0.0,-0.5,0.0,1100,111,Complete Physical Attendance,Maybe,,7,,-0.25,-1,-2
Dec-18,Male,Student in School,,0.5,3,3,0.5,0.0,1.0,1.0,0.5,0.5,1000,1000,Work/study from home,Yes,,7,,0.5833333333333334,1,-2
19-25,Female,Student in College,,1.5,2,4,-0.5,0.5,0.0,1.0,-1.0,0.0,100,10,Complete Physical Attendance,No,,7,,0.0,0,-3
19-25,Male,Student in College,,2.5,5,3,-1.0,-1.0,-1.0,0.5,0.0,-1.0,1,1000,Complete Physical Attendance,Maybe,,9,,-0.5833333333333334,-1,-5
Dec-18,Male,Student in School,,0.5,2,1,0.0,0.5,0.5,1.0,0.5,0.5,1000,111,Complete Physical Attendance,Yes,,7,,0.5,1,-2
Dec-18,Male,Student in College,,0.5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,10,1000,Complete Physical Attendance,Maybe,,7,,0.0,0,-2
Dec-18,Prefer not to say,Student in School,,0.5,1,1,-0.5,-1.0,-0.5,0.0,0.0,0.5,1,10,Work/study from home,Yes,,7,,-0.25,-1,-3
40-50,Male,Working Professional,Engineering,1.5,3,3,0.0,0.5,-1.0,-1.0,-1.0,-1.0,1000,1000,Work/study from home,Yes,,9,,-0.5833333333333334,-1,3
19-25,Male,Student in College,,0.5,4,2,-1.0,-0.5,-1.0,0.0,0.0,-0.5,1110,110,Work/study from home,Yes,,7,,-0.5,-1,-3
19-25,Male,Working Professional,Architect,1.5,4,2,-0.5,0.0,-0.5,0.0,-0.5,-0.5,1000,1000,Work/study from home,Maybe,,7,,-0.3333333333333333,-1,0
Dec-18,Male,Student in School,,0.5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1010,1111,Complete Physical Attendance,No,,11,,0.0,0,-4
19-25,Male,Student in College,,0.5,2,3,0.0,0.5,0.5,0.5,0.0,0.5,1100,1110,Complete Physical Attendance,No,,5,,0.3333333333333333,1,-1
Dec-18,Female,Student in College,,1.5,1,3,0.0,-0.5,1.0,0.5,0.0,0.0,1111,1111,Complete Physical Attendance,Yes,,4,,0.16666666666666666,0,0
Dec-18,Male,Student in School,,0.5,1,3,0.0,-0.5,0.5,0.0,0.5,-0.5,1010,1110,Complete Physical Attendance,No,,7,,0.0,0,0
Dec-18,Male,Student in School,,0.5,2,3,0.0,0.0,0.5,1.0,0.5,0.5,10,11,Work/study from home,Maybe,,5,,0.4166666666666667,1,0
Dec-18,Male,Student in School,,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.5,10,1,Complete Physical Attendance,Maybe,,7,,0.16666666666666666,0,0
Dec-18,Female,Student in College,,0.5,3,4,0.0,0.5,0.5,0.5,-0.5,0.5,1,10,Complete Physical Attendance,No,,7,,0.25,0,-2
Dec-18,Male,Student in College,,1.5,2,5,-1.0,-0.5,1.0,0.0,-1.0,0.5,1000,1000,Complete Physical Attendance,Maybe,,4,,-0.16666666666666666,0,1
Dec-18,Male,Student in College,,0.5,4,4,0.0,-1.0,0.5,0.5,0.0,0.5,1100,1001,Complete Physical Attendance,Maybe,,4,,0.08333333333333333,0,3
Dec-18,Female,Student in College,,0.5,3,2,0.0,0.5,0.0,0.5,0.0,-0.5,1100,1001,Complete Physical Attendance,No,,9,,0.08333333333333333,0,3
26-32,Female,Working Professional,Engineering,1.5,2,2,0.5,-0.5,1.0,0.0,-0.5,0.0,10,1011,Work/study from home,Maybe,,7,,0.08333333333333333,0,2
19-25,Male,Student in College,,0.5,1,1,-0.5,0.0,1.0,1.0,0.0,0.0,100,1000,Work/study from home,Yes,,7,,0.25,0,0
33-40,Female,Working Professional,Teaching,1.5,4,4,-0.5,-0.5,-1.0,0.0,-0.5,-0.5,1,1,Complete Physical Attendance,No,,7,,-0.5,-1,2
19-25,Male,Student in College,,0.5,1,5,-1.0,-1.0,-0.5,1.0,-1.0,-1.0,1000,1111,Complete Physical Attendance,Yes,,4,,-0.5833333333333334,-1,0
19-25,Female,Working Professional,Teaching,1.5,5,5,-1.0,-1.0,0.5,0.5,-1.0,-1.0,1000,1001,Complete Physical Attendance,No,,7,,-0.5,-1,2
19-25,Prefer not to say,Student in College,,0.5,1,3,1.0,0.5,1.0,1.0,1.0,1.0,100,10,Work/study from home,Yes,,7,,0.9166666666666666,1,0
Dec-18,Male,Student in College,,0.5,2,2,-0.5,0.0,0.5,0.5,0.5,0.0,1100,1111,Complete Physical Attendance,Yes,,9,,0.16666666666666666,0,-4
50-60,Male,Retired/Senior Citizen,,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1000,1,Complete Physical Attendance,No,,12,,0.0,0,0
19-25,Female,Working Professional,Management,1.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1010,111,Work/study from home,Yes,,9,,0.3333333333333333,1,0
19-25,Female,Student in College,,2.5,2,5,1.0,1.0,1.0,1.0,1.0,1.0,1111,100,Work/study from home,Maybe,,4,,1.0,1,3
19-25,Male,Student in College,,1.5,3,2,0.0,0.5,0.5,0.5,0.0,0.5,1010,1001,Complete Physical Attendance,Yes,,9,,0.3333333333333333,1,-5
Dec-18,Male,Student in College,,1.5,4,3,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1111,Complete Physical Attendance,Yes,,9,,-0.3333333333333333,-1,-2
19-25,Male,Student in College,,0.5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,5,,0.0,0,-1
19-25,Male,Student in College,,2.5,2,4,0.0,-0.5,1.0,1.0,0.5,1.0,1100,1111,Complete Physical Attendance,Yes,,9,,0.5,1,-4
19-25,Male,Student in College,,2.5,1,1,0.0,-0.5,0.5,0.0,0.0,0.0,1010,1011,Complete Physical Attendance,Maybe,,9,,0.0,0,-5
50-60,Male,Working Professional,Engineering,2.5,4,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1100,1101,Complete Physical Attendance,Yes,,9,,0.08333333333333333,0,2
19-25,Male,Student in College,,1.5,4,4,-0.5,0.0,-0.5,0.0,-0.5,0.0,100,100,Complete Physical Attendance,No,,5,,-0.25,-1,2
19-25,Male,Student in College,,1.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,10,1101,Complete Physical Attendance,Yes,,7,,0.5,1,-2
19-25,Female,Student in College,,0.5,4,2,0.0,-0.5,0.0,0.0,-1.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,7,,-0.25,-1,4
19-25,Male,Student in College,,2.5,3,3,0.0,-0.5,0.5,0.5,0.0,0.0,1000,1,Complete Physical Attendance,Maybe,,7,,0.08333333333333333,0,0
40-50,Male,Working Professional,Engineering,1.5,1,4,0.0,0.5,0.0,0.5,0.5,1.0,1000,1000,Work/study from home,Yes,,9,,0.4166666666666667,1,0
19-25,Male,Student in College,,0.5,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Complete Physical Attendance,Yes,,9,,-1.0,-1,-2
19-25,Male,Student in College,,3.0,1,3,0.0,1.0,1.0,1.0,1.0,1.0,1111,1,Complete Physical Attendance,Yes,,9,,0.8333333333333334,1,-4
19-25,Male,Student in College,,0.5,4,3,0.5,-0.5,0.0,0.0,-0.5,0.5,1000,1101,Complete Physical Attendance,Yes,,4,,0.0,0,3
19-25,Female,Student in College,,0.5,4,4,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,1001,1111,Complete Physical Attendance,Maybe,,5,,-0.8333333333333334,-1,0
Dec-18,Female,Student in College,,0.5,3,4,0.0,0.5,0.5,1.0,0.0,0.0,1110,1111,Complete Physical Attendance,Yes,,9,,0.3333333333333333,1,-2
19-25,Male,Working Professional,Engineering,0.5,2,2,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1000,1001,Complete Physical Attendance,Maybe,,7,,-0.3333333333333333,-1,0
19-25,Male,Student in College,,1.5,3,2,0.0,-0.5,0.0,-0.5,-0.5,0.0,110,100,Complete Physical Attendance,No,,7,,-0.25,-1,-2
40-50,Female,Homemaker,,0.5,1,2,0.5,0.0,0.5,0.5,0.0,0.0,100,10,Work/study from home,Maybe,,5,,0.25,0,4
19-25,Male,Student in College,,0.5,5,4,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,1110,1000,Complete Physical Attendance,Maybe,,7,,-0.8333333333333334,-1,0
19-25,Male,Working Professional,Engineering,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Complete Physical Attendance,Maybe,,7,,0.3333333333333333,1,-3
Dec-18,Male,Student in College,,0.5,4,3,-0.5,-1.0,0.5,0.5,-0.5,0.0,100,1110,Complete Physical Attendance,No,,7,,-0.16666666666666666,0,2
19-25,Female,Working Professional,Other,0.5,3,2,0.5,1.0,0.5,1.0,1.0,1.0,1011,1111,Complete Physical Attendance,Yes,,9,,0.8333333333333334,1,0
40-50,Male,Working Professional,Engineering,1.5,3,3,0.0,0.5,-1.0,-1.0,-1.0,-1.0,1000,1000,Work/study from home,Yes,,9,,-0.5833333333333334,-1,3
26-32,Male,Student in College,,0.5,2,1,0.5,0.5,0.5,0.5,0.5,0.5,1100,1,Work/study from home,Yes,,12,,0.5,1,0
33-40,Male,Currently Out of Work,,2.5,4,4,-0.5,0.5,0.5,0.5,1.0,0.5,101,1100,Work/study from home,Yes,,5,,0.4166666666666667,1,2
60+,Female,Homemaker,,0.5,4,4,0.0,0.5,0.5,0.5,0.5,0.5,1010,1001,Work/study from home,Yes,,4,,0.4166666666666667,1,0
19-25,Male,Working Professional,Architect,1.5,4,2,-0.5,0.0,-0.5,0.0,-0.5,-0.5,1000,1000,Work/study from home,Maybe,,7,,-0.3333333333333333,-1,0
19-25,Male,Student in College,,1.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,100,Complete Physical Attendance,No,,7,,0.0,0,-2
19-25,Male,Student in College,,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Complete Physical Attendance,Yes,,9,,0.25,0,-5
19-25,Male,Student in College,,0.5,3,3,1.0,-1.0,1.0,-1.0,-1.0,1.0,10,1111,Complete Physical Attendance,Maybe,,7,,0.0,0,4
Dec-18,Male,Student in College,,1.5,5,5,0.0,0.5,-0.5,0.0,-0.5,-0.5,100,1111,Complete Physical Attendance,Maybe,,7,,-0.16666666666666666,0,-2
19-25,Male,Student in College,,1.5,3,1,-0.5,-1.0,0.0,0.0,-0.5,-0.5,1000,1110,Complete Physical Attendance,Maybe,,9,,-0.4166666666666667,-1,-5
19-25,Male,Student in College,,0.5,1,1,1.0,0.5,1.0,1.0,1.0,1.0,1110,1,Work/study from home,Yes,,5,,0.9166666666666666,1,2
60+,Male,Currently Out of Work,,0.5,5,2,-1.0,1.0,1.0,1.0,1.0,1.0,1110,100,Work/study from home,Maybe,,4,,0.6666666666666666,1,0
50-60,Female,Homemaker,,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100,100,Work/study from home,Maybe,,7,,0.0,0,2
Dec-18,Female,Student in School,,0.5,1,4,-0.5,-0.5,1.0,1.0,1.0,1.0,1,1,Work/study from home,Yes,,7,,0.5,1,0
33-40,Male,Working Professional,Teaching,1.5,4,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Complete Physical Attendance,No,,11,,0.3333333333333333,1,0
60+,Male,Currently Out of Work,,1.5,5,5,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,Work/study from home,Yes,,4,,0.75,1,0
60+,Male,Working Professional,Other,1.5,5,2,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,Work/study from home,Yes,,9,,0.75,1,-2
33-40,Prefer not to say,Entrepreneur,,0.5,2,1,1.0,-0.5,1.0,1.0,1.0,1.0,1110,1001,Complete Physical Attendance,Maybe,,9,,0.75,1,0
40-50,Male,Medical Professional aiding efforts against COVID-19,,1.5,5,5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Work/study from home,Maybe,,7,,-0.5,-1,5
40-50,Male,Working Professional,Government Employee,2.5,4,3,-0.5,-1.0,-0.5,-1.0,-1.0,-0.5,110,1,Work/study from home,No,,7,,-0.75,-1,5
60+,Male,Currently Out of Work,,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,Complete Physical Attendance,No,,9,,0.6666666666666666,1,-4
50-60,Female,Homemaker,,0.5,1,2,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,110,1,Work/study from home,Maybe,,5,,-0.25,-1,7
26-32,Female,Entrepreneur,,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,Work/study from home,Yes,,5,,0.6666666666666666,1,4
26-32,Male,Working Professional,Management,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,Complete Physical Attendance,Maybe,,7,,0.5833333333333334,1,2
40-50,Female,Working Professional,Teaching,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,Complete Physical Attendance,Yes,,9,,0.3333333333333333,1,0
19-25,Male,Student in College,,1.5,1,4,-0.5,-0.5,0.0,0.0,0.0,0.0,1010,1100,Work/study from home,Maybe,,7,,-0.16666666666666666,0,-2
40-50,Female,Working Professional,Teaching,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,Complete Physical Attendance,Yes,,9,,0.3333333333333333,1,0
26-32,Female,Entrepreneur,,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,Complete Physical Attendance,Yes,,11,,0.3333333333333333,1,1
19-25,Male,Student in College,,0.5,2,3,0.0,0.0,-1.0,1.0,0.0,-1.0,100,101,Work/study from home,Yes,,7,,-0.16666666666666666,0,-3
19-25,Female,Student in College,,1.5,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,Complete Physical Attendance,Yes,,7,,1.0,1,-2
50-60,Female,Working Professional,Engineering,1.5,1,1,1.0,1.0,-0.5,0.5,0.5,0.0,1101,1100,Work/study from home,Yes,,12,,0.4166666666666667,1,0
26-32,Female,Entrepreneur,,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,Complete Physical Attendance,Yes,,11,,0.3333333333333333,1,1
33-40,Female,Working Professional,Teaching,1.5,2,2,0.5,0.5,0.5,1.0,0.5,0.5,1100,1001,Work/study from home,Yes,,9,,0.5833333333333334,1,0
Dec-18,Male,Student in School,,0.5,4,2,-0.5,0.0,0.5,1.0,0.0,0.0,100,1000,Complete Physical Attendance,No,,7,,0.16666666666666666,0,-2
19-25,Male,Working Professional,Engineering,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,Complete Physical Attendance,Maybe,,7,,0.3333333333333333,1,-3
19-25,Male,Student in College,,1.5,2,4,-0.5,-0.5,1.0,1.0,0.5,0.5,100,1111,Complete Physical Attendance,Maybe,,9,,0.3333333333333333,1,-4
19-25,Male,Student in College,,0.5,2,2,-0.5,0.0,-0.5,-1.0,0.0,-1.0,1000,1101,Complete Physical Attendance,Yes,,7,,-0.5,-1,-3
19-25,Male,Student in College,,0.5,5,4,-1.0,0.0,-0.5,0.0,-1.0,-1.0,1100,1101,Complete Physical Attendance,No,,7,,-0.5833333333333334,-1,0
19-25,Male,Student in College,,0.5,1,1,0.0,0.0,1.0,0.0,-1.0,1.0,10,1111,Complete Physical Attendance,Yes,,7,,0.16666666666666666,0,-3
Dec-18,Female,Student in College,,1.5,1,3,1.0,-1.0,0.0,-1.0,1.0,-0.5,1111,1100,Work/study from home,Yes,,7,,-0.08333333333333333,0,5
40-50,Female,Entrepreneur,,1.5,4,4,-0.5,-1.0,0.0,-1.0,0.0,0.0,100,1011,Complete Physical Attendance,Maybe,,9,,-0.4166666666666667,-1,3
19-25,Male,Working Professional,Engineering,0.5,4,2,-0.5,-0.5,1.0,0.0,-0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,,9,,0.0,0,0
19-25,Female,Student in College,,0.5,5,4,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,10,1101,Complete Physical Attendance,Maybe,,9,,-0.8333333333333334,-1,-4
26-32,Male,Working Professional,Other,0.5,3,5,-0.5,-0.5,-0.5,0.5,0.0,-0.5,1010,1101,Complete Physical Attendance,Yes,,7,,-0.25,-1,-2
33-40,Male,Working Professional,Engineering,0.5,2,2,0.5,0.5,0.5,1.0,0.0,0.5,1100,1,Work/study from home,Yes,,9,,0.5,1,0
40-50,Female,Medical Professional aiding efforts against COVID-19,,2.5,3,5,-0.5,0.0,0.0,0.5,0.0,0.0,10,1000,Complete Physical Attendance,No,,9,,0.0,0,-5
26-32,Male,Student in College,,0.5,4,4,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,1110,1111,Complete Physical Attendance,Maybe,,9,,-0.75,-1,3
40-50,Male,Working Professional,Management,1.5,1,1,1.0,0.5,1.0,1.0,0.5,0.5,1100,1101,Work/study from home,Yes,,9,,0.75,1,0
40-50,Male,Working Professional,Management,0.5,3,3,0.5,0.0,0.5,0.5,0.5,0.5,1000,100,Work/study from home,Yes,,9,,0.4166666666666667,1,0
50-60,Male,Working Professional,Management,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,Yes,,11,,0.25,0,0
26-32,Female,Homemaker,,0.5,3,5,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,100,111,Complete Physical Attendance,Maybe,,5,,-0.5,-1,7
26-32,Male,Working Professional,Engineering,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,Complete Physical Attendance,Maybe,,9,,0.3333333333333333,1,2
26-32,Male,Working Professional,Engineering,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,-0.5,1111,1100,Complete Physical Attendance,Yes,,11,,-0.25,-1,1
40-50,Male,Working Professional,Engineering,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,Work/study from home,Yes,,5,,0.3333333333333333,1,0
26-32,Male,Working Professional,Engineering,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,No,,9,,0.0,0,0
26-32,Male,Working Professional,Engineering,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,Work/study from home,Yes,,9,,0.5,1,-4
26-32,Male,Working Professional,Engineering,0.5,3,3,0.0,0.0,-1.0,-1.0,0.0,0.0,11,1010,Complete Physical Attendance,Maybe,,11,,-0.3333333333333333,-1,1
26-32,Male,Entrepreneur,,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,Complete Physical Attendance,Yes,,5,,-0.16666666666666666,0,0
26-32,Male,Working Professional,Other,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,No,,7,,0.25,0,-2
33-40,Male,Working Professional,Other,3.0,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,Complete Physical Attendance,Yes,,7,,0.16666666666666666,0,0
50-60,Male,Working Professional,Management,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,Complete Physical Attendance,Yes,,9,,-0.08333333333333333,0,0
